diagnosis_on_admission,admission_group,system,diagnosis_type
Pelvis/hip only trauma,Trauma including traumatic brain injury,Trauma,Non operative
Pelvis/multiple trauma,Trauma including traumatic brain injury,Trauma,Non operative
Pelvis/spinal trauma,Trauma including traumatic brain injury,Trauma,Non operative
Spinal cord only trauma,Trauma including traumatic brain injury,Trauma,Non operative
Spinal/extremity trauma,Trauma including traumatic brain injury,Trauma,Non operative
Spinal/face trauma,Trauma including traumatic brain injury,Trauma,Non operative
Spinal/multiple trauma,Trauma including traumatic brain injury,Trauma,Non operative
"Trauma medical, other",Trauma including traumatic brain injury,Trauma,Non operative
"Abdomen only trauma, surgery for",Trauma including traumatic brain injury,Trauma,Post operative
"Abdomen/extremity trauma, surgery for",Trauma including traumatic brain injury,Trauma,Post operative
"Abdomen/face trauma, surgery for",Trauma including traumatic brain injury,Trauma,Post operative
"Abdomen/multiple trauma, surgery for",Trauma including traumatic brain injury,Trauma,Post operative
"Abdomen/pelvis trauma, surgery for",Trauma including traumatic brain injury,Trauma,Post operative
"Abdomen/spinal trauma, surgery for",Trauma including traumatic brain injury,Trauma,Post operative
"Chest/abdomen trauma, surgery for",Trauma including traumatic brain injury,Trauma,Post operative
"Chest/extremity trauma, surgery for",Trauma including traumatic brain injury,Trauma,Post operative
"Chest/face trauma, surgery for",Trauma including traumatic brain injury,Trauma,Post operative
"Chest/multiple trauma, surgery for",Trauma including traumatic brain injury,Trauma,Post operative
"Chest/pelvis trauma, surgery for",Trauma including traumatic brain injury,Trauma,Post operative
"Chest/spinal trauma, surgery for",Trauma including traumatic brain injury,Trauma,Post operative
"Chest/thorax only trauma, surgery for",Trauma including traumatic brain injury,Trauma,Post operative
"Extremity only trauma, surgery for",Trauma including traumatic brain injury,Trauma,Post operative
"Extremity/face trauma, surgery for",Trauma including traumatic brain injury,Trauma,Post operative
"Extremity/multiple trauma, surgery for",Trauma including traumatic brain injury,Trauma,Post operative
"Face only trauma, surgery for",Trauma including traumatic brain injury,Trauma,Post operative
"Face/multiple trauma, surgery for",Trauma including traumatic brain injury,Trauma,Post operative
"Head (CNS) only trauma, surgery for",Trauma including traumatic brain injury,Trauma,Post operative
"Head/abdomen trauma, surgery for",Trauma including traumatic brain injury,Trauma,Post operative
"Head/chest trauma, surgery for",Trauma including traumatic brain injury,Trauma,Post operative
"Head/extremity trauma, surgery for",Trauma including traumatic brain injury,Trauma,Post operative
"Head/face trauma, surgery for",Trauma including traumatic brain injury,Trauma,Post operative
"Head/multiple trauma, surgery for",Trauma including traumatic brain injury,Trauma,Post operative
"Head/pelvis trauma, surgery for",Trauma including traumatic brain injury,Trauma,Post operative
"Head/spinal trauma, surgery for",Trauma including traumatic brain injury,Trauma,Post operative
"Pelvis/extremity trauma, surgery for",Trauma including traumatic brain injury,Trauma,Post operative
"Pelvis/face trauma, surgery for",Trauma including traumatic brain injury,Trauma,Post operative
"Pelvis/hip only trauma,surgery for",Trauma including traumatic brain injury,Trauma,Post operative
"Pelvis/multiple trauma, surgery for",Trauma including traumatic brain injury,Trauma,Post operative
"Pelvis/spinal trauma, surgery for",Trauma including traumatic brain injury,Trauma,Post operative
"Spinal cord only trauma, surgery for",Trauma including traumatic brain injury,Trauma,Post operative
"Spinal/extremity trauma, surgery for",Trauma including traumatic brain injury,Trauma,Post operative
"Spinal/face trauma, surgery for",Trauma including traumatic brain injury,Trauma,Post operative
"Spinal/multiple trauma, surgery for",Trauma including traumatic brain injury,Trauma,Post operative
"Trauma surgery, other",Trauma including traumatic brain injury,Trauma,Post operative
